o,p,p
l,o,n,g
8,16,14,15
8,18,14,15
8,16,19,14
8,17,20,14
8,18,21,14
8,19,14,22
8,20,14,23
8,24,21,14
8,25,14,22
8,16,18,15
8,17,19,15
8,18,20,15
8,19,21,15
8,20,22,15
8,23,21,15
8,24,22,15
8,25,23,15
8,16,18,17
8,16,18,19
8,16,19,20
8,16,20,21
8,16,21,22
8,16,22,23
8,16,24,23
8,16,24,25
8,18,19,20
8,18,20,21
8,18,21,22
8,18,22,23
8,24,18,23
8,24,18,25
8,19,20,22
8,19,21,23
8,24,19,22
8,25,19,23
8,24,20,21
8,25,20,22
9,10,11,13
9,10,11,15
9,10,11,17
9,10,12,14
9,10,18,12
9,10,20,13
9,10,21,14
9,10,22,15
16,9,10,23
24,9,10,17
9,10,18,25
9,11,12,15
9,11,12,17
19,9,11,13
9,11,20,14
9,11,21,15
16,9,11,22
9,11,17,23
24,9,18,11
19,9,11,25
9,12,13,14
9,18,12,13
9,19,12,14
9,12,20,15
16,9,12,21
9,12,17,22
9,18,12,23
24,9,19,12
9,12,20,25
9,13,14,15
9,13,14,17
9,18,13,15
16,9,19,13
9,20,13,17
9,18,21,13
9,19,13,22
9,20,13,23
24,9,21,13
9,13,22,25
9,17,14,15
16,9,18,14
9,19,14,17
9,18,20,14
9,19,21,14
9,20,14,22
9,21,14,23
24,9,14,22
9,25,14,23
16,9,17,15
9,18,17,15
9,18,19,15
9,19,20,15
9,20,21,15
9,21,22,15
9,23,22,15
24,9,23,15
24,9,25,15
9,18,19,17
9,19,20,17
9,20,21,17
9,21,17,22
9,23,17,22
24,9,17,23
24,9,17,25
9,18,19,21
9,18,20,22
9,18,21,23
24,9,18,22
9,18,25,23
9,19,20,23
24,9,19,21
9,19,22,25
9,20,21,25
10,11,12,14
16,10,11,12
18,10,11,13
19,10,11,14
10,11,20,15
16,10,11,21
17,10,11,22
18,10,11,23
19,24,10,11
25,10,11,20
17,10,12,13
10,18,12,14
10,19,12,15
16,10,12,20
17,10,12,21
10,18,12,22
10,19,12,23
24,10,12,20
25,10,12,21
16,10,13,14
17,10,13,15
16,10,18,13
17,10,19,13
10,18,20,13
21,10,19,13
10,20,13,22
10,21,13,23
24,10,13,22
25,10,13,23
16,10,14,15
16,17,10,14
17,10,18,14
19,10,18,14
10,19,20,14
10,20,21,14
10,21,14,22
10,23,14,22
24,10,14,23
24,25,10,14
16,17,10,18
16,19,10,18
16,10,19,20
16,10,20,21
16,10,21,22
16,10,22,23
16,24,10,23
16,24,10,25
17,10,18,20
17,10,19,21
17,10,20,22
17,10,21,23
24,17,10,22
17,10,25,23
19,10,18,22
10,18,20,23
24,10,18,21
25,10,18,22
24,10,19,20
25,10,19,21
16,11,12,13
17,11,12,14
18,11,12,15
16,19,11,12
17,11,12,20
18,11,12,21
19,11,12,22
11,12,20,23
24,11,12,21
25,11,12,22
11,13,14,15
16,11,13,15
16,17,11,13
17,18,11,13
19,18,11,13
19,11,20,13
21,11,20,13
21,11,13,22
11,13,22,23
24,11,13,23
24,25,11,13
16,17,11,15
17,18,11,15
19,18,11,15
19,11,20,15
11,20,21,15
11,21,22,15
11,23,22,15
24,11,23,15
24,25,11,15
16,17,11,19
16,18,11,20
16,19,11,21
16,11,20,22
16,11,21,23
16,24,11,22
16,25,11,23
17,18,11,21
19,17,11,22
17,11,20,23
24,17,11,21
17,11,22,25
19,18,11,23
24,18,11,20
25,18,11,21
19,25,11,20
16,12,14,15
16,17,12,14
17,18,12,14
18,19,12,14
19,12,20,14
21,12,20,14
12,21,14,22
12,23,14,22
24,12,14,23
24,25,12,14
16,18,12,15
17,19,12,15
18,12,20,15
19,12,21,15
12,20,22,15
23,12,21,15
24,12,22,15
25,12,23,15
16,17,12,20
16,18,12,21
16,19,12,22
16,12,20,23
16,24,12,21
16,25,12,22
17,18,12,22
17,19,12,23
24,17,12,20
17,12,21,25
24,18,19,12
25,18,12,20
18,13,14,15
16,19,13,14
17,20,13,14
18,21,13,14
19,13,14,22
20,13,14,23
24,21,13,14
25,13,14,22
16,20,13,15
17,21,13,15
18,13,22,15
19,23,13,15
24,20,13,15
25,21,13,15
16,17,13,22
16,18,13,23
16,24,19,13
16,25,20,13
24,17,18,13
17,19,13,25
16,21,14,15
17,22,14,15
18,23,14,15
24,19,14,15
25,20,14,15
16,17,14,23
16,24,18,14
16,25,19,14
17,18,14,25
16,17,24,15
16,25,18,15
